prd_id	cat_id	prd_key	prd_nm	prd_cost	prd_line	prd_start_dt	prd_end_dt	dwh_create_date
478	AC_BC	BC-M005	Mountain Bottle Cage	4	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
479	AC_BC	BC-R205	Road Bottle Cage	3	Road	2013-07-01		2024-12-30 14:06:36.9700000
477	AC_BC	WB-H098	Water Bottle - 30 oz.	2	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
483	AC_BR	RA-H123	Hitch Rack - 4-Bike	45	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
486	AC_BS	ST-1401	All-Purpose Bike Stand	59	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
484	AC_CL	CL-9009	Bike Wash - Dissolver	3	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
485	AC_FE	FE-6654	Fender Set - Mountain	8	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
215	AC_HE	HL-U509	Sport-100 Helmet- Black	12	Other Sales	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
216	AC_HE	HL-U509	Sport-100 Helmet- Black	14	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
217	AC_HE	HL-U509	Sport-100 Helmet- Black	13	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
220	AC_HE	HL-U509-B	Sport-100 Helmet- Blue	12	Other Sales	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
221	AC_HE	HL-U509-B	Sport-100 Helmet- Blue	14	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
222	AC_HE	HL-U509-B	Sport-100 Helmet- Blue	13	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
212	AC_HE	HL-U509-R	Sport-100 Helmet- Red	12	Other Sales	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
213	AC_HE	HL-U509-R	Sport-100 Helmet- Red	14	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
214	AC_HE	HL-U509-R	Sport-100 Helmet- Red	13	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
487	AC_HP	HY-1023-70	Hydration Pack - 70 oz.	21	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
451	AC_LI	LT-H902	Headlights - Dual-Beam	14	Road	2012-07-01		2024-12-30 14:06:36.9700000
452	AC_LI	LT-H903	Headlights - Weatherproof	19	Road	2012-07-01		2024-12-30 14:06:36.9700000
450	AC_LI	LT-T990	Taillights - Battery-Powered	6	Road	2012-07-01		2024-12-30 14:06:36.9700000
447	AC_LO	LO-C100	Cable Lock	10	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
446	AC_PA	PA-T100	Touring-Panniers- Large	52	Touring	2012-07-01		2024-12-30 14:06:36.9700000
448	AC_PU	PU-0452	Minipump	8	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
449	AC_PU	PU-M044	Mountain Pump	10	Mountain	2012-07-01		2024-12-30 14:06:36.9700000
480	AC_TT	PK-7098	Patch Kit/8 Patches	1	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
535	AC_TT	TI-M267	LL Mountain Tire	9	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
536	AC_TT	TI-M602	ML Mountain Tire	11	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
537	AC_TT	TI-M823	HL Mountain Tire	13	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
538	AC_TT	TI-R092	LL Road Tire	8	Road	2013-07-01		2024-12-30 14:06:36.9700000
539	AC_TT	TI-R628	ML Road Tire	9	Road	2013-07-01		2024-12-30 14:06:36.9700000
540	AC_TT	TI-R982	HL Road Tire	12	Road	2013-07-01		2024-12-30 14:06:36.9700000
541	AC_TT	TI-T723	Touring Tire	11	Touring	2013-07-01		2024-12-30 14:06:36.9700000
528	AC_TT	TT-M928	Mountain Tire Tube	2	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
529	AC_TT	TT-R982	Road Tire Tube	1	Road	2013-07-01		2024-12-30 14:06:36.9700000
530	AC_TT	TT-T092	Touring Tire Tube	2	Touring	2013-07-01		2024-12-30 14:06:36.9700000
596	BI_MB	BK-M18B-40	Mountain-500 Black- 40	295	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
597	BI_MB	BK-M18B-42	Mountain-500 Black- 42	295	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
598	BI_MB	BK-M18B-44	Mountain-500 Black- 44	295	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
599	BI_MB	BK-M18B-48	Mountain-500 Black- 48	295	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
600	BI_MB	BK-M18B-52	Mountain-500 Black- 52	295	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
591	BI_MB	BK-M18S-40	Mountain-500 Silver- 40	308	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
592	BI_MB	BK-M18S-42	Mountain-500 Silver- 42	308	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
593	BI_MB	BK-M18S-44	Mountain-500 Silver- 44	308	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
594	BI_MB	BK-M18S-48	Mountain-500 Silver- 48	308	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
595	BI_MB	BK-M18S-52	Mountain-500 Silver- 52	308	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
587	BI_MB	BK-M38S-38	Mountain-400-W Silver- 38	420	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
588	BI_MB	BK-M38S-40	Mountain-400-W Silver- 40	420	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
589	BI_MB	BK-M38S-42	Mountain-400-W Silver- 42	420	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
590	BI_MB	BK-M38S-46	Mountain-400-W Silver- 46	420	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
364	BI_MB	BK-M47B-38	Mountain-300 Black- 38	598	Mountain	2012-07-01		2024-12-30 14:06:36.9700000
365	BI_MB	BK-M47B-40	Mountain-300 Black- 40	598	Mountain	2012-07-01		2024-12-30 14:06:36.9700000
366	BI_MB	BK-M47B-44	Mountain-300 Black- 44	598	Mountain	2012-07-01		2024-12-30 14:06:36.9700000
367	BI_MB	BK-M47B-48	Mountain-300 Black- 48	598	Mountain	2012-07-01		2024-12-30 14:06:36.9700000
358	BI_MB	BK-M68B-38	Mountain-200 Black- 38	1106	Mountain	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
359	BI_MB	BK-M68B-38	Mountain-200 Black- 38	1252	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
360	BI_MB	BK-M68B-42	Mountain-200 Black- 42	1106	Mountain	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
361	BI_MB	BK-M68B-42	Mountain-200 Black- 42	1252	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
362	BI_MB	BK-M68B-46	Mountain-200 Black- 46	1106	Mountain	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
363	BI_MB	BK-M68B-46	Mountain-200 Black- 46	1252	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
352	BI_MB	BK-M68S-38	Mountain-200 Silver- 38	1118	Mountain	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
353	BI_MB	BK-M68S-38	Mountain-200 Silver- 38	1266	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
354	BI_MB	BK-M68S-42	Mountain-200 Silver- 42	1118	Mountain	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
355	BI_MB	BK-M68S-42	Mountain-200 Silver- 42	1266	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
356	BI_MB	BK-M68S-46	Mountain-200 Silver- 46	1118	Mountain	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
357	BI_MB	BK-M68S-46	Mountain-200 Silver- 46	1266	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
348	BI_MB	BK-M82B-38	Mountain-100 Black- 38	1898	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
349	BI_MB	BK-M82B-42	Mountain-100 Black- 42	1898	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
350	BI_MB	BK-M82B-44	Mountain-100 Black- 44	1898	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
351	BI_MB	BK-M82B-48	Mountain-100 Black- 48	1898	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
344	BI_MB	BK-M82S-38	Mountain-100 Silver- 38	1912	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
345	BI_MB	BK-M82S-42	Mountain-100 Silver- 42	1912	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
346	BI_MB	BK-M82S-44	Mountain-100 Silver- 44	1912	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
347	BI_MB	BK-M82S-48	Mountain-100 Silver- 48	1912	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
604	BI_RB	BK-R19B-44	Road-750 Black- 44	344	Road	2013-07-01		2024-12-30 14:06:36.9700000
605	BI_RB	BK-R19B-48	Road-750 Black- 48	344	Road	2013-07-01		2024-12-30 14:06:36.9700000
606	BI_RB	BK-R19B-52	Road-750 Black- 52	344	Road	2013-07-01		2024-12-30 14:06:36.9700000
584	BI_RB	BK-R19B-58	Road-750 Black- 58	344	Road	2013-07-01		2024-12-30 14:06:36.9700000
338	BI_RB	BK-R50B-44	Road-650 Black- 44	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
339	BI_RB	BK-R50B-44	Road-650 Black- 44	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
340	BI_RB	BK-R50B-48	Road-650 Black- 48	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
341	BI_RB	BK-R50B-48	Road-650 Black- 48	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
342	BI_RB	BK-R50B-52	Road-650 Black- 52	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
343	BI_RB	BK-R50B-52	Road-650 Black- 52	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
332	BI_RB	BK-R50B-58	Road-650 Black- 58	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
333	BI_RB	BK-R50B-58	Road-650 Black- 58	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
334	BI_RB	BK-R50B-60	Road-650 Black- 60	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
335	BI_RB	BK-R50B-60	Road-650 Black- 60	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
336	BI_RB	BK-R50B-62	Road-650 Black- 62	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
337	BI_RB	BK-R50B-62	Road-650 Black- 62	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
326	BI_RB	BK-R50R-44	Road-650 Red- 44	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
327	BI_RB	BK-R50R-44	Road-650 Red- 44	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
328	BI_RB	BK-R50R-48	Road-650 Red- 48	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
329	BI_RB	BK-R50R-48	Road-650 Red- 48	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
330	BI_RB	BK-R50R-52	Road-650 Red- 52	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
331	BI_RB	BK-R50R-52	Road-650 Red- 52	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
320	BI_RB	BK-R50R-58	Road-650 Red- 58	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
321	BI_RB	BK-R50R-58	Road-650 Red- 58	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
322	BI_RB	BK-R50R-60	Road-650 Red- 60	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
323	BI_RB	BK-R50R-60	Road-650 Red- 60	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
324	BI_RB	BK-R50R-62	Road-650 Red- 62	413	Road	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
325	BI_RB	BK-R50R-62	Road-650 Red- 62	487	Road	2012-07-01		2024-12-30 14:06:36.9700000
381	BI_RB	BK-R64Y-38	Road-550-W Yellow- 38	606	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
382	BI_RB	BK-R64Y-38	Road-550-W Yellow- 38	713	Road	2013-07-01		2024-12-30 14:06:36.9700000
383	BI_RB	BK-R64Y-40	Road-550-W Yellow- 40	606	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
384	BI_RB	BK-R64Y-40	Road-550-W Yellow- 40	713	Road	2013-07-01		2024-12-30 14:06:36.9700000
385	BI_RB	BK-R64Y-42	Road-550-W Yellow- 42	606	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
386	BI_RB	BK-R64Y-42	Road-550-W Yellow- 42	713	Road	2013-07-01		2024-12-30 14:06:36.9700000
387	BI_RB	BK-R64Y-44	Road-550-W Yellow- 44	606	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
388	BI_RB	BK-R64Y-44	Road-550-W Yellow- 44	713	Road	2013-07-01		2024-12-30 14:06:36.9700000
389	BI_RB	BK-R64Y-48	Road-550-W Yellow- 48	606	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
390	BI_RB	BK-R64Y-48	Road-550-W Yellow- 48	713	Road	2013-07-01		2024-12-30 14:06:36.9700000
317	BI_RB	BK-R68R-44	Road-450 Red- 44	885	Road	2011-07-01		2024-12-30 14:06:36.9700000
318	BI_RB	BK-R68R-48	Road-450 Red- 48	885	Road	2011-07-01		2024-12-30 14:06:36.9700000
319	BI_RB	BK-R68R-52	Road-450 Red- 52	885	Road	2011-07-01		2024-12-30 14:06:36.9700000
315	BI_RB	BK-R68R-58	Road-450 Red- 58	885	Road	2011-07-01		2024-12-30 14:06:36.9700000
316	BI_RB	BK-R68R-60	Road-450 Red- 60	885	Road	2011-07-01		2024-12-30 14:06:36.9700000
580	BI_RB	BK-R79Y-40	Road-350-W Yellow- 40	1083	Road	2013-07-01		2024-12-30 14:06:36.9700000
581	BI_RB	BK-R79Y-42	Road-350-W Yellow- 42	1083	Road	2013-07-01		2024-12-30 14:06:36.9700000
582	BI_RB	BK-R79Y-44	Road-350-W Yellow- 44	1083	Road	2013-07-01		2024-12-30 14:06:36.9700000
583	BI_RB	BK-R79Y-48	Road-350-W Yellow- 48	1083	Road	2013-07-01		2024-12-30 14:06:36.9700000
373	BI_RB	BK-R89B-44	Road-250 Black- 44	1321	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
374	BI_RB	BK-R89B-44	Road-250 Black- 44	1555	Road	2013-07-01		2024-12-30 14:06:36.9700000
375	BI_RB	BK-R89B-48	Road-250 Black- 48	1321	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
376	BI_RB	BK-R89B-48	Road-250 Black- 48	1555	Road	2013-07-01		2024-12-30 14:06:36.9700000
377	BI_RB	BK-R89B-52	Road-250 Black- 52	1321	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
378	BI_RB	BK-R89B-52	Road-250 Black- 52	1555	Road	2013-07-01		2024-12-30 14:06:36.9700000
379	BI_RB	BK-R89B-58	Road-250 Black- 58	1321	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
380	BI_RB	BK-R89B-58	Road-250 Black- 58	1555	Road	2013-07-01		2024-12-30 14:06:36.9700000
368	BI_RB	BK-R89R-44	Road-250 Red- 44	1519	Road	2012-07-01		2024-12-30 14:06:36.9700000
369	BI_RB	BK-R89R-48	Road-250 Red- 48	1519	Road	2012-07-01		2024-12-30 14:06:36.9700000
370	BI_RB	BK-R89R-52	Road-250 Red- 52	1519	Road	2012-07-01		2024-12-30 14:06:36.9700000
371	BI_RB	BK-R89R-58	Road-250 Red- 58	1321	Road	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
372	BI_RB	BK-R89R-58	Road-250 Red- 58	1555	Road	2013-07-01		2024-12-30 14:06:36.9700000
311	BI_RB	BK-R93R-44	Road-150 Red- 44	2171	Road	2011-07-01		2024-12-30 14:06:36.9700000
312	BI_RB	BK-R93R-48	Road-150 Red- 48	2171	Road	2011-07-01		2024-12-30 14:06:36.9700000
313	BI_RB	BK-R93R-52	Road-150 Red- 52	2171	Road	2011-07-01		2024-12-30 14:06:36.9700000
314	BI_RB	BK-R93R-56	Road-150 Red- 56	2171	Road	2011-07-01		2024-12-30 14:06:36.9700000
310	BI_RB	BK-R93R-62	Road-150 Red- 62	2171	Road	2011-07-01		2024-12-30 14:06:36.9700000
585	BI_TB	BK-T18U-44	Touring-3000 Blue- 44	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
586	BI_TB	BK-T18U-50	Touring-3000 Blue- 50	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
565	BI_TB	BK-T18U-54	Touring-3000 Blue- 54	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
566	BI_TB	BK-T18U-58	Touring-3000 Blue- 58	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
567	BI_TB	BK-T18U-62	Touring-3000 Blue- 62	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
568	BI_TB	BK-T18Y-44	Touring-3000 Yellow- 44	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
569	BI_TB	BK-T18Y-50	Touring-3000 Yellow- 50	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
570	BI_TB	BK-T18Y-54	Touring-3000 Yellow- 54	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
571	BI_TB	BK-T18Y-58	Touring-3000 Yellow- 58	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
572	BI_TB	BK-T18Y-62	Touring-3000 Yellow- 62	461	Touring	2013-07-01		2024-12-30 14:06:36.9700000
577	BI_TB	BK-T44U-46	Touring-2000 Blue- 46	755	Touring	2013-07-01		2024-12-30 14:06:36.9700000
578	BI_TB	BK-T44U-50	Touring-2000 Blue- 50	755	Touring	2013-07-01		2024-12-30 14:06:36.9700000
579	BI_TB	BK-T44U-54	Touring-2000 Blue- 54	755	Touring	2013-07-01		2024-12-30 14:06:36.9700000
560	BI_TB	BK-T44U-60	Touring-2000 Blue- 60	755	Touring	2013-07-01		2024-12-30 14:06:36.9700000
573	BI_TB	BK-T79U-46	Touring-1000 Blue- 46	1482	Touring	2013-07-01		2024-12-30 14:06:36.9700000
574	BI_TB	BK-T79U-50	Touring-1000 Blue- 50	1482	Touring	2013-07-01		2024-12-30 14:06:36.9700000
575	BI_TB	BK-T79U-54	Touring-1000 Blue- 54	1482	Touring	2013-07-01		2024-12-30 14:06:36.9700000
576	BI_TB	BK-T79U-60	Touring-1000 Blue- 60	1482	Touring	2013-07-01		2024-12-30 14:06:36.9700000
561	BI_TB	BK-T79Y-46	Touring-1000 Yellow- 46	1482	Touring	2013-07-01		2024-12-30 14:06:36.9700000
562	BI_TB	BK-T79Y-50	Touring-1000 Yellow- 50	1482	Touring	2013-07-01		2024-12-30 14:06:36.9700000
563	BI_TB	BK-T79Y-54	Touring-1000 Yellow- 54	1482	Touring	2013-07-01		2024-12-30 14:06:36.9700000
564	BI_TB	BK-T79Y-60	Touring-1000 Yellow- 60	1482	Touring	2013-07-01		2024-12-30 14:06:36.9700000
461	CL_BS	SB-M891-L	Men's Bib-Shorts- L	37	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
460	CL_BS	SB-M891-M	Men's Bib-Shorts- M	37	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
459	CL_BS	SB-M891-S	Men's Bib-Shorts- S	37	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
223	CL_CA	CA-1098	AWC Logo Cap	6	Other Sales	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
224	CL_CA	CA-1098	AWC Logo Cap	5	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
225	CL_CA	CA-1098	AWC Logo Cap	7	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
470	CL_GL	GL-F110-L	Full-Finger Gloves- L	16	Mountain	2012-07-01		2024-12-30 14:06:36.9700000
469	CL_GL	GL-F110-M	Full-Finger Gloves- M	16	Mountain	2012-07-01		2024-12-30 14:06:36.9700000
468	CL_GL	GL-F110-S	Full-Finger Gloves- S	16	Mountain	2012-07-01		2024-12-30 14:06:36.9700000
466	CL_GL	GL-H102-L	Half-Finger Gloves- L	10	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
467	CL_GL	GL-H102-L	Half-Finger Gloves- L	9	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
464	CL_GL	GL-H102-M	Half-Finger Gloves- M	10	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
465	CL_GL	GL-H102-M	Half-Finger Gloves- M	9	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
462	CL_GL	GL-H102-S	Half-Finger Gloves- S	10	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
463	CL_GL	GL-H102-S	Half-Finger Gloves- S	9	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
232	CL_JE	LJ-0192-L	Long-Sleeve Logo Jersey- L	32	Other Sales	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
233	CL_JE	LJ-0192-L	Long-Sleeve Logo Jersey- L	29	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
234	CL_JE	LJ-0192-L	Long-Sleeve Logo Jersey- L	38	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
229	CL_JE	LJ-0192-M	Long-Sleeve Logo Jersey- M	32	Other Sales	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
230	CL_JE	LJ-0192-M	Long-Sleeve Logo Jersey- M	29	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
231	CL_JE	LJ-0192-M	Long-Sleeve Logo Jersey- M	38	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
226	CL_JE	LJ-0192-S	Long-Sleeve Logo Jersey- S	32	Other Sales	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
227	CL_JE	LJ-0192-S	Long-Sleeve Logo Jersey- S	29	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
228	CL_JE	LJ-0192-S	Long-Sleeve Logo Jersey- S	38	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
235	CL_JE	LJ-0192-X	Long-Sleeve Logo Jersey- XL	32	Other Sales	2011-07-01	2012-06-30	2024-12-30 14:06:36.9700000
236	CL_JE	LJ-0192-X	Long-Sleeve Logo Jersey- XL	29	Other Sales	2012-07-01	2013-06-30	2024-12-30 14:06:36.9700000
237	CL_JE	LJ-0192-X	Long-Sleeve Logo Jersey- XL	38	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
490	CL_JE	SJ-0194-L	Short-Sleeve Classic Jersey- L	42	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
489	CL_JE	SJ-0194-M	Short-Sleeve Classic Jersey- M	42	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
488	CL_JE	SJ-0194-S	Short-Sleeve Classic Jersey- S	42	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
491	CL_JE	SJ-0194-X	Short-Sleeve Classic Jersey- XL	42	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
454	CL_SH	SH-M897-L	Men's Sports Shorts- L	25	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
453	CL_SH	SH-M897-M	Men's Sports Shorts- M	25	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
445	CL_SH	SH-M897-S	Men's Sports Shorts- S	25	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
455	CL_SH	SH-M897-X	Men's Sports Shorts- XL	25	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
476	CL_SH	SH-W890-L	Women's Mountain Shorts- L	26	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
475	CL_SH	SH-W890-M	Women's Mountain Shorts- M	26	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
474	CL_SH	SH-W890-S	Women's Mountain Shorts- S	26	Mountain	2013-07-01		2024-12-30 14:06:36.9700000
219	CL_SO	SO-B909-L	Mountain Bike Socks- L	3	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
218	CL_SO	SO-B909-M	Mountain Bike Socks- M	3	Mountain	2011-07-01		2024-12-30 14:06:36.9700000
482	CL_SO	SO-R809-L	Racing Socks- L	3	Road	2013-07-01		2024-12-30 14:06:36.9700000
481	CL_SO	SO-R809-M	Racing Socks- M	3	Road	2013-07-01		2024-12-30 14:06:36.9700000
458	CL_TI	TG-W091-L	Women's Tights- L	31	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
457	CL_TI	TG-W091-M	Women's Tights- M	31	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
456	CL_TI	TG-W091-S	Women's Tights- S	31	Other Sales	2012-07-01		2024-12-30 14:06:36.9700000
473	CL_VE	VE-C304-L	Classic Vest- L	24	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
472	CL_VE	VE-C304-M	Classic Vest- M	24	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
471	CL_VE	VE-C304-S	Classic Vest- S	24	Other Sales	2013-07-01		2024-12-30 14:06:36.9700000
601	CO_BB	BB-7421	LL Bottom Bracket	24	n/a	2013-07-01		2024-12-30 14:06:36.9700000
602	CO_BB	BB-8107	ML Bottom Bracket	45	n/a	2013-07-01		2024-12-30 14:06:36.9700000
603	CO_BB	BB-9108	HL Bottom Bracket	54	n/a	2013-07-01		2024-12-30 14:06:36.9700000
555	CO_BR	FB-9873	Front Brakes	47	n/a	2013-07-01		2024-12-30 14:06:36.9700000
514	CO_BR	RB-9231	Rear Brakes	47	n/a	2013-07-01		2024-12-30 14:06:36.9700000
559	CO_CH	CH-0234	Chain	9	n/a	2013-07-01		2024-12-30 14:06:36.9700000
556	CO_CS	CS-4759	LL Crankset	78	n/a	2013-07-01		2024-12-30 14:06:36.9700000
557	CO_CS	CS-6583	ML Crankset	114	n/a	2013-07-01		2024-12-30 14:06:36.9700000
558	CO_CS	CS-9183	HL Crankset	180	n/a	2013-07-01		2024-12-30 14:06:36.9700000
552	CO_DE	FD-2342	Front Derailleur	41	n/a	2013-07-01		2024-12-30 14:06:36.9700000
501	CO_DE	RD-2308	Rear Derailleur	54	n/a	2013-07-01		2024-12-30 14:06:36.9700000
391	CO_FO	FK-1639	LL Fork	66	n/a	2012-07-01		2024-12-30 14:06:36.9700000
392	CO_FO	FK-5136	ML Fork	78	n/a	2012-07-01		2024-12-30 14:06:36.9700000
